type	time	latitude	longitude	altitude (m)	temperature	name	desc
T	2016-02-11 03:13:58	47.718225801	-122.247319892	126.0	26.0	Kirkland Hiking	
T	2016-02-11 03:13:59	47.718212390	-122.247314863	126.0	26.0		
T	2016-02-11 03:14:00	47.718218509	-122.247303128	126.0	26.0		
T	2016-02-11 03:14:01	47.718219012	-122.247301536	126.0	26.0		
T	2016-02-11 03:14:02	47.718225718	-122.247303715	126.0	26.0		
T	2016-02-11 03:14:03	47.718217922	-122.247297848	126.0	26.0		
T	2016-02-11 03:14:04	47.718211049	-122.247286951	126.0	26.0		
T	2016-02-11 03:14:05	47.718206607	-122.247284772	125.8	26.0		
T	2016-02-11 03:14:06	47.718198644	-122.247284772	125.8	26.0		
T	2016-02-11 03:14:07	47.718189675	-122.247286281	125.8	26.0		
T	2016-02-11 03:14:08	47.718183724	-122.247289633	125.8	26.0		
T	2016-02-11 03:14:09	47.718177103	-122.247293321	126.0	26.0		
T	2016-02-11 03:14:10	47.718170732	-122.247296339	126.0	26.0		
T	2016-02-11 03:14:11	47.718166122	-122.247303883	126.0	26.0		
T	2016-02-11 03:14:12	47.718162937	-122.247312851	126.0	26.0		
T	2016-02-11 03:14:13	47.718156399	-122.247317797	126.0	26.0		
T	2016-02-11 03:14:14	47.718152544	-122.247320898	126.0	26.0		
T	2016-02-11 03:14:15	47.718150448	-122.247323915	126.0	26.0		
T	2016-02-11 03:14:16	47.718146592	-122.247322993	126.0	26.0		
T	2016-02-11 03:14:17	47.718143491	-122.247320730	126.0	26.0		
T	2016-02-11 03:14:18	47.718138127	-122.247319305	125.8	26.0		
T	2016-02-11 03:14:19	47.718133768	-122.247316204	125.8	26.0		
T	2016-02-11 03:14:20	47.718132259	-122.247315450	125.8	26.0		
T	2016-02-11 03:14:21	47.718131505	-122.247314863	125.8	26.0		
T	2016-02-11 03:14:22	47.718133349	-122.247314109	125.8	26.0		
T	2016-02-11 03:14:23	47.718133349	-122.247313270	125.8	26.0		
T	2016-02-11 03:14:24	47.718133098	-122.247311594	125.8	26.0		
T	2016-02-11 03:14:25	47.718133349	-122.247309415	125.8	26.0		
T	2016-02-11 03:14:26	47.718131840	-122.247306649	125.8	26.0		
T	2016-02-11 03:14:27	47.718130164	-122.247303799	125.8	26.0		
T	2016-02-11 03:14:28	47.718127482	-122.247298015	126.0	26.0		
T	2016-02-11 03:14:29	47.718122955	-122.247294076	126.0	26.0		
T	2016-02-11 03:14:30	47.718120189	-122.247292232	126.0	26.0		
T	2016-02-11 03:14:31	47.718116585	-122.247290639	126.0	26.0		
T	2016-02-11 03:14:32	47.718114741	-122.247287454	126.0	26.0		
T	2016-02-11 03:14:33	47.718111388	-122.247282844	126.0	26.0		
T	2016-02-11 03:14:34	47.718108958	-122.247278988	126.0	26.0		
T	2016-02-11 03:14:35	47.718106862	-122.247277228	126.0	26.0		
T	2016-02-11 03:14:36	47.718107449	-122.247275971	126.0	26.0		
T	2016-02-11 03:14:37	47.718107030	-122.247271864	126.0	26.0		
T	2016-02-11 03:14:38	47.718107533	-122.247269349	126.0	26.0		
T	2016-02-11 03:14:39	47.718107114	-122.247265661	126.0	26.0		
T	2016-02-11 03:14:40	47.718102923	-122.247261638	126.0	26.0		
T	2016-02-11 03:14:41	47.718098816	-122.247257866	126.0	26.0		
T	2016-02-11 03:14:42	47.718096720	-122.247254010	126.0	26.0		
T	2016-02-11 03:14:43	47.718092110	-122.247248227	126.0	26.0		
T	2016-02-11 03:14:44	47.718086746	-122.247242108	126.0	26.0		
T	2016-02-11 03:14:45	47.718082471	-122.247236492	126.2	26.0		
T	2016-02-11 03:14:46	47.718080962	-122.247232469	126.2	26.0		
T	2016-02-11 03:14:47	47.718080878	-122.247228278	126.2	26.0		
T	2016-02-11 03:14:48	47.718077274	-122.247224087	126.2	26.0		
T	2016-02-11 03:14:49	47.718075514	-122.247225009	126.2	26.0		
T	2016-02-11 03:14:50	47.718073921	-122.247227188	126.2	26.0		
T	2016-02-11 03:14:51	47.718074005	-122.247231714	126.2	26.0		
T	2016-02-11 03:14:52	47.718074508	-122.247237330	126.2	26.0		
T	2016-02-11 03:14:53	47.718075346	-122.247240851	126.2	26.0		
T	2016-02-11 03:14:54	47.718078950	-122.247244036	126.2	26.0		
T	2016-02-11 03:14:55	47.718080794	-122.247247389	126.2	26.0		
T	2016-02-11 03:14:56	47.718084315	-122.247252921	126.2	26.0		
T	2016-02-11 03:14:57	47.718087249	-122.247256860	126.2	26.0		
T	2016-02-11 03:14:58	47.718088003	-122.247261051	126.2	26.0		
T	2016-02-11 03:14:59	47.718087751	-122.247264152	126.2	26.0		
T	2016-02-11 03:15:00	47.718087584	-122.247266164	126.2	26.0		
T	2016-02-11 03:15:01	47.718086829	-122.247268343	126.2	26.0		
T	2016-02-11 03:15:02	47.718085907	-122.247269433	126.2	26.0		
T	2016-02-11 03:15:03	47.718081884	-122.247267505	126.2	26.0		
T	2016-02-11 03:15:04	47.718076939	-122.247265745	126.2	26.0		
T	2016-02-11 03:15:05	47.718073335	-122.247266080	126.2	26.0		
T	2016-02-11 03:15:06	47.718069395	-122.247266918	126.4	26.0		
T	2016-02-11 03:15:07	47.718064785	-122.247264069	126.4	26.0		
T	2016-02-11 03:15:08	47.718063025	-122.247261135	126.4	26.0		
T	2016-02-11 03:15:09	47.718061348	-122.247258956	126.4	26.0		
T	2016-02-11 03:15:10	47.718058834	-122.247256776	126.4	26.0		
T	2016-02-11 03:15:11	47.718056990	-122.247255016	126.4	26.0		
T	2016-02-11 03:15:12	47.718056571	-122.247250574	126.4	26.0		
T	2016-02-11 03:15:13	47.718055816	-122.247248311	126.4	26.0		
T	2016-02-11 03:15:14	47.718055230	-122.247247221	126.4	26.0		
T	2016-02-11 03:15:15	47.718054056	-122.247242108	126.4	26.0		
T	2016-02-11 03:15:16	47.718051206	-122.247237414	126.4	26.0		
T	2016-02-11 03:15:17	47.718052045	-122.247234145	126.6	26.0		
T	2016-02-11 03:15:18	47.718052631	-122.247232888	126.6	26.0		
T	2016-02-11 03:15:19	47.718055062	-122.247232134	126.6	26.0		
T	2016-02-11 03:15:20	47.718061181	-122.247229032	126.6	26.0		
T	2016-02-11 03:15:21	47.718064617	-122.247225009	126.6	26.0		
T	2016-02-11 03:15:22	47.718068054	-122.247222075	126.6	26.0		
T	2016-02-11 03:15:23	47.718071155	-122.247219225	126.6	26.0		
T	2016-02-11 03:15:24	47.718075598	-122.247215286	126.6	26.0		
T	2016-02-11 03:15:25	47.718079621	-122.247206233	126.6	26.0		
T	2016-02-11 03:15:26	47.718084902	-122.247203551	126.6	26.0		
T	2016-02-11 03:15:27	47.718091272	-122.247198941	126.6	26.0		
T	2016-02-11 03:15:28	47.718099067	-122.247190308	126.6	26.0		
T	2016-02-11 03:15:29	47.718100827	-122.247185865	126.6	26.0		
T	2016-02-11 03:15:30	47.718101079	-122.247184943	126.6	26.0		
T	2016-02-11 03:15:31	47.718103006	-122.247180669	126.6	26.0		
T	2016-02-11 03:15:32	47.718105186	-122.247177232	126.6	26.0		
T	2016-02-11 03:15:33	47.718100240	-122.247178238	126.6	26.0		
T	2016-02-11 03:15:34	47.718102336	-122.247177819	126.6	26.0		
T	2016-02-11 03:15:35	47.718104264	-122.247180585	126.6	26.0		
T	2016-02-11 03:15:36	47.718106778	-122.247182429	126.6	26.0		
T	2016-02-11 03:15:37	47.718109880	-122.247183099	126.6	26.0		
T	2016-02-11 03:15:38	47.718112227	-122.247186033	126.6	26.0		
T	2016-02-11 03:15:39	47.718114406	-122.247189721	126.6	26.0		
T	2016-02-11 03:15:40	47.718117842	-122.247188631	126.6	26.0		
T	2016-02-11 03:15:41	47.718121363	-122.247188631	126.6	26.0		
T	2016-02-11 03:15:42	47.718110969	-122.247196930	126.6	26.0		
T	2016-02-11 03:15:43	47.718114071	-122.247194666	126.4	26.0		
T	2016-02-11 03:15:44	47.718118764	-122.247191146	126.4	26.0		
T	2016-02-11 03:15:45	47.718121028	-122.247188548	126.4	26.0		
T	2016-02-11 03:15:46	47.718124297	-122.247184860	126.4	26.0		
T	2016-02-11 03:15:47	47.718127063	-122.247184524	126.4	26.0		
T	2016-02-11 03:15:48	47.718130667	-122.247184357	126.4	26.0		
T	2016-02-11 03:15:49	47.718129996	-122.247186787	126.6	26.0		
T	2016-02-11 03:15:50	47.718131002	-122.247186871	126.6	26.0		
T	2016-02-11 03:15:51	47.718132762	-122.247185195	126.6	26.0		
T	2016-02-11 03:15:52	47.718132176	-122.247185949	126.6	26.0		
T	2016-02-11 03:15:53	47.718134020	-122.247187207	126.6	26.0		
T	2016-02-11 03:15:54	47.718134690	-122.247185195	126.6	26.0		
T	2016-02-11 03:15:55	47.718133349	-122.247183686	126.6	26.0		
T	2016-02-11 03:15:56	47.718134103	-122.247184273	126.4	26.0		
T	2016-02-11 03:15:57	47.718136618	-122.247183016	126.4	26.0		
T	2016-02-11 03:15:58	47.718137875	-122.247182932	126.4	26.0		
T	2016-02-11 03:15:59	47.718140557	-122.247178908	126.4	26.0		
T	2016-02-11 03:16:00	47.718144665	-122.247177484	126.4	26.0		
T	2016-02-11 03:16:01	47.718143826	-122.247179663	126.4	26.0		
T	2016-02-11 03:16:02	47.718147682	-122.247178657	126.4	26.0		
T	2016-02-11 03:16:03	47.718145754	-122.247175472	126.4	26.0		
T	2016-02-11 03:16:04	47.718134858	-122.247179244	126.6	26.0		
T	2016-02-11 03:16:05	47.718129996	-122.247179495	126.6	26.0		
T	2016-02-11 03:16:06	47.718128487	-122.247177484	126.6	26.0		
T	2016-02-11 03:16:07	47.718125721	-122.247177232	126.4	26.0		
T	2016-02-11 03:16:08	47.718125638	-122.247181088	126.4	26.0		
T	2016-02-11 03:16:09	47.718121950	-122.247182848	126.4	26.0		
T	2016-02-11 03:16:10	47.718119267	-122.247180417	126.6	26.0		
T	2016-02-11 03:16:11	47.718115747	-122.247181926	126.6	26.0		
T	2016-02-11 03:16:12	47.718110969	-122.247184608	126.6	26.0		
T	2016-02-11 03:16:13	47.718105521	-122.247182932	126.6	26.0		
T	2016-02-11 03:16:14	47.718099738	-122.247183938	126.6	25.0		
T	2016-02-11 03:16:15	47.718095127	-122.247183602	126.6	25.0		
T	2016-02-11 03:16:16	47.718093786	-122.247184692	126.6	25.0		
T	2016-02-11 03:16:17	47.718092781	-122.247185111	126.6	25.0		
T	2016-02-11 03:16:18	47.718087332	-122.247187207	126.4	25.0		
T	2016-02-11 03:16:19	47.718090601	-122.247183770	126.6	25.0		
T	2016-02-11 03:16:20	47.718088841	-122.247184943	126.4	25.0		
T	2016-02-11 03:16:21	47.718089009	-122.247181088	126.6	25.0		
T	2016-02-11 03:16:22	47.718095127	-122.247172203	126.4	25.0		
T	2016-02-11 03:16:23	47.718101246	-122.247170946	126.4	25.0		
T	2016-02-11 03:16:24	47.718104934	-122.247170946	126.4	25.0		
T	2016-02-11 03:16:25	47.718105270	-122.247170275	126.4	25.0		
T	2016-02-11 03:16:26	47.718111807	-122.247167425	126.4	25.0		
T	2016-02-11 03:16:27	47.718110131	-122.247170946	126.4	25.0		
T	2016-02-11 03:16:28	47.718108036	-122.247173544	126.4	25.0		
T	2016-02-11 03:16:29	47.718104767	-122.247176478	126.4	25.0		
T	2016-02-11 03:16:30	47.718100660	-122.247180417	126.4	25.0		
T	2016-02-11 03:16:31	47.718096720	-122.247183938	126.4	25.0		
T	2016-02-11 03:16:32	47.718093032	-122.247188464	126.4	25.0		
T	2016-02-11 03:16:33	47.718090517	-122.247191062	126.4	25.0		
T	2016-02-11 03:16:34	47.718094373	-122.247190978	126.4	25.0		
T	2016-02-11 03:16:35	47.718098899	-122.247187207	126.4	25.0		
T	2016-02-11 03:16:36	47.718105270	-122.247184105	126.4	25.0		
T	2016-02-11 03:16:37	47.718106443	-122.247184524	126.4	25.0		
T	2016-02-11 03:16:38	47.718110634	-122.247182010	126.6	25.0		
T	2016-02-11 03:16:39	47.718110047	-122.247179495	126.6	25.0		
T	2016-02-11 03:16:40	47.718111891	-122.247178406	126.6	25.0		
T	2016-02-11 03:16:41	47.718111221	-122.247178992	126.6	25.0		
T	2016-02-11 03:16:42	47.718110969	-122.247177148	126.6	25.0		
T	2016-02-11 03:16:43	47.718111388	-122.247172706	126.6	25.0		
T	2016-02-11 03:16:44	47.718108287	-122.247169185	126.6	25.0		
T	2016-02-11 03:16:45	47.718105856	-122.247165246	126.6	25.0		
T	2016-02-11 03:16:46	47.718103928	-122.247164156	126.6	25.0		
T	2016-02-11 03:16:47	47.718099318	-122.247165749	126.6	25.0		
T	2016-02-11 03:16:48	47.718093703	-122.247170191	126.6	25.0		
T	2016-02-11 03:16:49	47.718088422	-122.247173879	126.6	25.0		
T	2016-02-11 03:16:50	47.718084147	-122.247177903	126.4	25.0		
T	2016-02-11 03:16:51	47.718080208	-122.247186033	126.4	25.0		
T	2016-02-11 03:16:52	47.718075933	-122.247191900	126.4	25.0		
T	2016-02-11 03:16:53	47.718070401	-122.247198187	126.4	25.0		
T	2016-02-11 03:16:54	47.718068305	-122.247202126	126.4	25.0		
T	2016-02-11 03:16:55	47.718061935	-122.247210005	126.4	25.0		
T	2016-02-11 03:16:56	47.718054475	-122.247220566	126.4	25.0		
T	2016-02-11 03:16:57	47.718048105	-122.247232385	126.4	25.0		
T	2016-02-11 03:16:58	47.718040226	-122.247241689	126.4	25.0		
T	2016-02-11 03:16:59	47.718034945	-122.247247808	126.4	25.0		
T	2016-02-11 03:17:00	47.718032179	-122.247254765	126.4	25.0		
T	2016-02-11 03:17:01	47.718032766	-122.247260213	126.4	25.0		
T	2016-02-11 03:17:02	47.718031844	-122.247264069	126.4	25.0		
T	2016-02-11 03:17:03	47.718032096	-122.247266332	126.4	25.0		
T	2016-02-11 03:17:04	47.718032682	-122.247267757	126.4	25.0		
T	2016-02-11 03:17:05	47.718035532	-122.247262727	126.4	25.0		
T	2016-02-11 03:17:06	47.718036454	-122.247259710	126.4	25.0		
T	2016-02-11 03:17:07	47.718038047	-122.247257447	126.4	25.0		
T	2016-02-11 03:17:08	47.718039388	-122.247256692	126.4	25.0		
T	2016-02-11 03:17:09	47.718039472	-122.247256273	126.4	25.0		
T	2016-02-11 03:17:10	47.718040897	-122.247254597	126.4	25.0		
T	2016-02-11 03:17:11	47.718043663	-122.247252669	126.4	25.0		
T	2016-02-11 03:17:12	47.718041735	-122.247247556	126.4	25.0		
T	2016-02-11 03:17:13	47.718040645	-122.247241773	126.4	25.0		
T	2016-02-11 03:17:14	47.718042489	-122.247236492	126.4	25.0		
T	2016-02-11 03:17:15	47.718047434	-122.247236744	126.4	25.0		
T	2016-02-11 03:17:16	47.718052380	-122.247241940	126.4	25.0		
T	2016-02-11 03:17:17	47.718056655	-122.247246383	126.4	25.0		
T	2016-02-11 03:17:18	47.718061013	-122.247250825	126.4	25.0		
T	2016-02-11 03:17:19	47.718066629	-122.247253675	126.4	25.0		
T	2016-02-11 03:17:20	47.718067551	-122.247251412	126.4	25.0		
T	2016-02-11 03:17:21	47.718066629	-122.247252837	126.4	25.0		
T	2016-02-11 03:17:22	47.718063109	-122.247248730	126.6	25.0		
T	2016-02-11 03:17:23	47.718063192	-122.247256525	126.6	25.0		
T	2016-02-11 03:17:24	47.718059923	-122.247251999	126.4	25.0		
T	2016-02-11 03:17:25	47.718056068	-122.247249736	126.4	25.0		
T	2016-02-11 03:17:26	47.718054391	-122.247246215	126.4	25.0		
T	2016-02-11 03:17:27	47.718056990	-122.247247472	126.4	25.0		
T	2016-02-11 03:17:28	47.718059840	-122.247243952	126.4	25.0		
T	2016-02-11 03:17:29	47.718064785	-122.247247724	126.4	25.0		
T	2016-02-11 03:17:30	47.718065791	-122.247249400	126.4	25.0		
T	2016-02-11 03:17:31	47.718067635	-122.247248059	126.4	25.0		
T	2016-02-11 03:17:32	47.718068305	-122.247250490	126.4	25.0		
T	2016-02-11 03:17:33	47.718070988	-122.247252418	126.6	25.0		
T	2016-02-11 03:17:34	47.718070652	-122.247247640	126.6	25.0		
T	2016-02-11 03:17:36	47.718070820	-122.247239426	126.4	25.0		
T	2016-02-11 03:17:37	47.718067383	-122.247231547	126.6	25.0		
T	2016-02-11 03:17:38	47.718062522	-122.247220064	126.6	25.0		
T	2016-02-11 03:17:39	47.718059337	-122.247217633	126.6	25.0		
T	2016-02-11 03:17:40	47.718057660	-122.247209083	126.6	25.0		
T	2016-02-11 03:17:42	47.718055481	-122.247199863	126.6	25.0		
T	2016-02-11 03:17:43	47.718053218	-122.247180250	126.6	25.0		
T	2016-02-11 03:17:44	47.718054978	-122.247183518	126.6	25.0		
T	2016-02-11 03:17:45	47.718057325	-122.247185279	126.4	25.0		
T	2016-02-11 03:17:46	47.718057996	-122.247183099	126.4	25.0		
T	2016-02-11 03:17:47	47.718060259	-122.247191649	126.6	25.0		
T	2016-02-11 03:17:48	47.718060426	-122.247195421	126.6	25.0		
T	2016-02-11 03:17:49	47.718063025	-122.247202042	126.6	24.0		
T	2016-02-11 03:17:50	47.718064366	-122.247203132	126.6	24.0		
T	2016-02-11 03:17:51	47.718071239	-122.247201623	126.6	24.0		
T	2016-02-11 03:17:52	47.718071826	-122.247205479	126.6	24.0		
T	2016-02-11 03:17:53	47.718073837	-122.247211765	126.6	24.0		
T	2016-02-11 03:17:54	47.718076352	-122.247213526	126.6	24.0		
T	2016-02-11 03:17:55	47.718076520	-122.247215537	126.6	24.0		
T	2016-02-11 03:17:56	47.718078448	-122.247218555	126.6	24.0		
T	2016-02-11 03:17:57	47.718081465	-122.247224590	126.6	24.0		
T	2016-02-11 03:17:58	47.718083728	-122.247231966	126.6	24.0		
T	2016-02-11 03:17:59	47.718083644	-122.247238588	126.6	24.0		
T	2016-02-11 03:18:00	47.718084399	-122.247243701	126.6	24.0		
T	2016-02-11 03:18:01	47.718084482	-122.247254178	126.6	24.0		
T	2016-02-11 03:18:02	47.718086662	-122.247258034	126.4	24.0		
T	2016-02-11 03:18:03	47.718085572	-122.247257782	126.4	24.0		
T	2016-02-11 03:18:04	47.718093200	-122.247270187	126.6	24.0		
T	2016-02-11 03:18:05	47.718100492	-122.247283347	126.4	24.0		
T	2016-02-11 03:18:06	47.718098396	-122.247293657	126.4	24.0		
T	2016-02-11 03:18:07	47.718099905	-122.247302709	126.4	24.0		
T	2016-02-11 03:18:08	47.718099067	-122.247310504	126.4	24.0		
T	2016-02-11 03:18:09	47.718104683	-122.247324418	126.4	24.0		
T	2016-02-11 03:18:10	47.718104012	-122.247325340	126.4	24.0		
T	2016-02-11 03:18:11	47.718081800	-122.247294998	126.4	24.0		
T	2016-02-11 03:18:12	47.718081465	-122.247301200	126.4	24.0		
T	2016-02-11 03:18:13	47.718063863	-122.247266751	126.4	24.0		
T	2016-02-11 03:18:14	47.718055816	-122.247255938	126.4	24.0		
T	2016-02-11 03:18:15	47.718041483	-122.247238923	126.4	24.0		
T	2016-02-11 03:18:16	47.718029916	-122.247226769	126.4	24.0		
T	2016-02-11 03:18:17	47.718024552	-122.247226685	126.6	24.0		
T	2016-02-11 03:18:18	47.718021283	-122.247226685	126.6	24.0		
T	2016-02-11 03:18:19	47.718017930	-122.247226182	126.6	24.0		
T	2016-02-11 03:18:20	47.718017008	-122.247225428	126.6	24.0		
T	2016-02-11 03:18:21	47.718014494	-122.247232469	126.6	24.0		
T	2016-02-11 03:18:22	47.718009716	-122.247237917	126.6	24.0		
T	2016-02-11 03:18:23	47.718006447	-122.247242192	126.6	24.0		
T	2016-02-11 03:18:24	47.718006112	-122.247249233	126.8	24.0		
T	2016-02-11 03:18:25	47.718006363	-122.247272702	126.6	24.0		
T	2016-02-11 03:18:26	47.718006279	-122.247269601	126.6	24.0		
T	2016-02-11 03:18:27	47.718006698	-122.247266751	126.6	24.0		
T	2016-02-11 03:18:28	47.718007285	-122.247264739	126.6	24.0		
T	2016-02-11 03:18:29	47.718010135	-122.247262476	126.6	24.0		
T	2016-02-11 03:18:30	47.718011476	-122.247261135	126.6	24.0		
T	2016-02-11 03:18:31	47.718011392	-122.247259961	126.6	24.0		
T	2016-02-11 03:18:32	47.718011728	-122.247260967	126.6	24.0		
T	2016-02-11 03:18:33	47.718012314	-122.247261303	126.6	24.0		
T	2016-02-11 03:18:34	47.718013152	-122.247259207	126.6	24.0		
T	2016-02-11 03:18:35	47.718015248	-122.247255938	126.6	24.0		
T	2016-02-11 03:18:36	47.718017930	-122.247251328	126.6	24.0		
T	2016-02-11 03:18:37	47.718023714	-122.247246299	126.6	24.0		
T	2016-02-11 03:18:38	47.718034275	-122.247243449	126.4	24.0		
T	2016-02-11 03:18:39	47.718036454	-122.247246886	126.4	24.0		
T	2016-02-11 03:18:40	47.718041483	-122.247250238	126.4	24.0		
T	2016-02-11 03:18:41	47.718044585	-122.247253591	126.4	24.0		
T	2016-02-11 03:18:42	47.718045590	-122.247258872	126.4	24.0		
T	2016-02-11 03:18:43	47.718051290	-122.247261386	126.4	24.0		
T	2016-02-11 03:18:44	47.718057493	-122.247261805	126.4	24.0		
T	2016-02-11 03:18:45	47.718062941	-122.247260045	126.4	24.0		
T	2016-02-11 03:18:46	47.718065036	-122.247259207	126.4	24.0		
T	2016-02-11 03:18:47	47.718064785	-122.247259207	126.4	24.0		
T	2016-02-11 03:18:48	47.718065623	-122.247261470	126.4	24.0		
T	2016-02-11 03:18:49	47.718069144	-122.247268427	126.4	24.0		
T	2016-02-11 03:18:50	47.718072329	-122.247272786	126.4	24.0		
T	2016-02-11 03:18:51	47.718070317	-122.247279072	126.4	24.0		
T	2016-02-11 03:18:52	47.718073167	-122.247280497	126.4	24.0		
T	2016-02-11 03:18:53	47.718075262	-122.247282006	126.4	24.0		
T	2016-02-11 03:18:54	47.718077106	-122.247282173	126.4	24.0		
T	2016-02-11 03:18:55	47.718076184	-122.247286281	126.4	24.0		
T	2016-02-11 03:18:56	47.718078448	-122.247285945	126.4	24.0		
T	2016-02-11 03:18:57	47.718083225	-122.247285275	126.4	24.0		
T	2016-02-11 03:18:58	47.718086913	-122.247284604	126.4	24.0		
T	2016-02-11 03:18:59	47.718091523	-122.247284688	126.4	24.0		
T	2016-02-11 03:19:00	47.718096469	-122.247282760	126.4	24.0		
T	2016-02-11 03:19:01	47.718103845	-122.247278485	126.4	24.0		
T	2016-02-11 03:19:02	47.718104683	-122.247278485	126.4	24.0		
T	2016-02-11 03:19:03	47.718106359	-122.247280162	126.4	24.0		
T	2016-02-11 03:19:04	47.718103258	-122.247280749	126.4	24.0		
T	2016-02-11 03:19:05	47.718104012	-122.247283598	126.4	24.0		
T	2016-02-11 03:19:06	47.718104851	-122.247283095	126.4	24.0		
T	2016-02-11 03:19:07	47.718097726	-122.247274630	126.2	24.0		
T	2016-02-11 03:19:08	47.718088925	-122.247267924	126.2	24.0		
T	2016-02-11 03:19:09	47.718079370	-122.247260464	126.2	24.0		
T	2016-02-11 03:19:10	47.718074340	-122.247258704	126.2	24.0		
T	2016-02-11 03:19:11	47.718074843	-122.247257782	126.2	24.0		
T	2016-02-11 03:19:12	47.718073083	-122.247258117	126.2	24.0		
T	2016-02-11 03:19:13	47.718070401	-122.247257782	126.2	24.0		
T	2016-02-11 03:19:14	47.718069060	-122.247254681	126.2	24.0		
T	2016-02-11 03:19:15	47.718069814	-122.247255100	126.2	24.0		
T	2016-02-11 03:19:16	47.718068305	-122.247254681	126.2	24.0		
T	2016-02-11 03:19:17	47.718064617	-122.247257279	126.2	24.0		
T	2016-02-11 03:19:18	47.718061768	-122.247258201	126.2	24.0		
T	2016-02-11 03:19:19	47.718058415	-122.247258034	126.2	24.0		
T	2016-02-11 03:19:20	47.718060426	-122.247255351	126.2	24.0		
T	2016-02-11 03:19:21	47.718059169	-122.247255938	126.4	24.0		
T	2016-02-11 03:19:22	47.718061097	-122.247254932	126.2	24.0		
T	2016-02-11 03:19:23	47.718065288	-122.247252166	126.2	24.0		
T	2016-02-11 03:19:24	47.718065707	-122.247253172	126.2	24.0		
T	2016-02-11 03:19:25	47.718064450	-122.247253256	126.2	24.0		
T	2016-02-11 03:19:26	47.718062522	-122.247255770	126.2	24.0		
T	2016-02-11 03:19:27	47.718059421	-122.247255351	126.4	24.0		
T	2016-02-11 03:19:28	47.718060678	-122.247258285	126.4	24.0		
T	2016-02-11 03:19:29	47.718061935	-122.247258201	126.4	24.0		
T	2016-02-11 03:19:30	47.718061348	-122.247257531	126.4	24.0		
T	2016-02-11 03:19:31	47.718060007	-122.247256525	126.4	24.0		
T	2016-02-11 03:19:32	47.718059337	-122.247255435	126.4	24.0		
T	2016-02-11 03:19:33	47.718058918	-122.247253256	126.4	24.0		
T	2016-02-11 03:19:34	47.718059672	-122.247251328	126.4	24.0		
T	2016-02-11 03:19:35	47.718059923	-122.247250322	126.4	24.0		
T	2016-02-11 03:19:36	47.718060594	-122.247250574	126.4	24.0		
T	2016-02-11 03:19:37	47.718061600	-122.247249987	126.6	24.0		
T	2016-02-11 03:19:38	47.718062941	-122.247249484	126.4	24.0		
T	2016-02-11 03:19:39	47.718065456	-122.247252585	126.4	24.0		
T	2016-02-11 03:19:40	47.718066461	-122.247253004	126.4	23.0		
T	2016-02-11 03:19:41	47.718065958	-122.247254765	126.4	23.0		
T	2016-02-11 03:19:42	47.718067300	-122.247255603	126.4	23.0		
T	2016-02-11 03:19:43	47.718067216	-122.247260548	126.4	23.0		
T	2016-02-11 03:19:44	47.718070401	-122.247262727	126.4	23.0		
T	2016-02-11 03:19:45	47.718072580	-122.247263063	126.4	23.0		
T	2016-02-11 03:19:46	47.718074508	-122.247263985	126.4	23.0		
T	2016-02-11 03:19:47	47.718076268	-122.247262225	126.4	23.0		
T	2016-02-11 03:19:48	47.718080543	-122.247261219	126.4	23.0		
T	2016-02-11 03:19:49	47.718085907	-122.247259375	126.4	23.0		
T	2016-02-11 03:19:50	47.718088673	-122.247262057	126.4	23.0		
T	2016-02-11 03:19:51	47.718092278	-122.247266583	126.4	23.0		
T	2016-02-11 03:19:52	47.718094457	-122.247269182	126.4	23.0		
T	2016-02-11 03:19:53	47.718099318	-122.247275552	126.4	23.0		
T	2016-02-11 03:19:54	47.718105773	-122.247250993	126.4	23.0		
T	2016-02-11 03:19:55	47.718116753	-122.247247975	126.4	23.0		
T	2016-02-11 03:19:56	47.718125386	-122.247251244	126.4	23.0		
T	2016-02-11 03:19:57	47.718131170	-122.247254597	126.4	23.0		
T	2016-02-11 03:19:58	47.718130834	-122.247253340	126.4	23.0		
T	2016-02-11 03:19:59	47.718128404	-122.247249316	126.4	23.0		
T	2016-02-11 03:20:00	47.718098983	-122.247262141	126.4	23.0		
T	2016-02-11 03:20:01	47.718103342	-122.247259039	126.2	23.0		
T	2016-02-11 03:20:02	47.718097055	-122.247256441	126.2	23.0		
T	2016-02-11 03:20:03	47.718090769	-122.247249149	126.2	23.0		
T	2016-02-11 03:20:04	47.718085907	-122.247239174	126.2	23.0		
T	2016-02-11 03:20:05	47.718081130	-122.247227859	126.2	23.0		
T	2016-02-11 03:20:06	47.718072915	-122.247206233	126.2	23.0		
T	2016-02-11 03:20:07	47.718073754	-122.247198774	126.2	23.0		
T	2016-02-11 03:20:08	47.718071742	-122.247193744	126.2	23.0		
T	2016-02-11 03:20:09	47.718066964	-122.247191481	126.4	23.0		
T	2016-02-11 03:20:10	47.718074005	-122.247198690	126.4	23.0		
T	2016-02-11 03:20:11	47.718081800	-122.247204054	126.4	23.0		
T	2016-02-11 03:20:12	47.718084147	-122.247206485	126.4	23.0		
T	2016-02-11 03:20:13	47.718088254	-122.247210173	126.4	23.0		
T	2016-02-11 03:20:14	47.718073586	-122.247201875	126.4	23.0		
T	2016-02-11 03:20:15	47.718065204	-122.247200366	126.4	23.0		
T	2016-02-11 03:20:16	47.718055984	-122.247201288	126.4	23.0		
